source,target,relationship,edge_type,metadata
17f69881ac4l0i203w68wewtomkibu,wiki_status_effects,mentions,mention,{}
17f697d40afl0i2041cta4gx4stl1,wiki_tools,mentions,mention,{}
17f69a2e19cl0i1pp06n0kd7rxesjl,wiki_strength,mentions,mention,{}
17f696a91e6l0i204lxs4hae8avy0g,17f69a2e19cl0i1pp06n0kd7rxesjl,mentions,mention,{}
17f69d76eb3l0i204oq09gkwaowmf68,17f69aa268al0i1zj0rfdsne7y1g1w,mentions,mention,{}
17f69d455c5l0i205a3k0wzn2ypqle,wiki_armor,mentions,mention,{}
17f69d455c5l0i205a3k0wzn2ypqle,wiki_locations,mentions,mention,{}
17f69d455c5l0i205a3k0wzn2ypqle,wiki_items,mentions,mention,{}
17f69d455c5l0i205a3k0wzn2ypqle,wiki_sites_of_grace,mentions,mention,{}
17f69d455c5l0i205a3k0wzn2ypqle,wiki_tools,mentions,mention,{}
17f69a35611l0i20597yedxrkvphsh,wiki_locations,mentions,mention,{}
17f69a35611l0i20597yedxrkvphsh,wiki_items,mentions,mention,{}
17f69c02f20l0i205dxwda6n4zguv,17f69d455c5l0i205a3k0wzn2ypqle,mentions,mention,{}
17f69c02f20l0i205dxwda6n4zguv,wiki_tools,mentions,mention,{}
17f69a57e1al0i205nrq7r7ejujwwf,17f69a35611l0i20597yedxrkvphsh,mentions,mention,{}
17f69799c84l0i205u6lcu7cimt6go,wiki_locations,mentions,mention,{}
17f69799c84l0i205u6lcu7cimt6go,wiki_items,mentions,mention,{}
17f69c3d8d6l0i20606xv4qubbfu7p,wiki_locations,mentions,mention,{}
17f69c3d8d6l0i20606xv4qubbfu7p,wiki_items,mentions,mention,{}
17f69b3daf5l0i2065ib5jg6rmi10i,wiki_locations,mentions,mention,{}
17f69b3daf5l0i2065ib5jg6rmi10i,wiki_items,mentions,mention,{}
17f69a99affl0i206qzglzvffjj70w,17f69c760bdl0i2opziqz256a85vp,mentions,mention,{}
17f69d12884l0i206zpa4yilhgxhcb,wiki_volcano_manor,mentions,mention,{}
17f69d4793al0i20803285w1d3ou7g,17f69b22fd9l0i2ono62dded63kgv,mentions,mention,{}
17f69d4793al0i20803285w1d3ou7g,17f69a8e6e3l0i2mbkue80sw8q9e9m,mentions,mention,{}
17f696d60ffl0i207s3ni82cdzpgc9,17f6998a6eel0i2omw40wiu6ms1t9nd,mentions,mention,{}
17f69c98ba8l0i208j7gybwirorhvk,17f69cd42f7l0i2ol82u1cg8l2ia3d,mentions,mention,{}
17f69c98ba8l0i208j7gybwirorhvk,17f697240ecl0i1ul21nevug9wq54e,mentions,mention,{}
17f698fde01l0i208oj9xgaolt458e,17f697240ecl0i1ul21nevug9wq54e,mentions,mention,{}
17f698fde01l0i208oj9xgaolt458e,wiki_locations,mentions,mention,{}
17f698fde01l0i208oj9xgaolt458e,wiki_gurranq_beast_clergyman,mentions,mention,{}
17f698fde01l0i208oj9xgaolt458e,wiki_items,mentions,mention,{}
17f695a2eeal0i209a1og68zgohdyd,17f69c760bdl0i2opziqz256a85vp,mentions,mention,{}
17f69826b90l0i209g5sv9021cx8ik,17f699693fbl0i1otqw0glcy3u6fp0k,mentions,mention,{}
17f69826b90l0i209g5sv9021cx8ik,17f69dbf58cl0i1ux7vft8wsk6ejbb,mentions,mention,{}
17f69826b90l0i209g5sv9021cx8ik,17f69160ac9l0hynthagycs7dr7gq7,mentions,mention,{}
17f69826b90l0i209g5sv9021cx8ik,wiki_daggers,mentions,mention,{}
17f69da909al0i20aqnq0fxca1m5be,17f6998a6eel0i2omw40wiu6ms1t9nd,mentions,mention,{}
17f69da909al0i20aqnq0fxca1m5be,wiki_locations,mentions,mention,{}
17f69da909al0i20aqnq0fxca1m5be,wiki_items,mentions,mention,{}
17f69a28766l0i20atzgf1lpmg55at,17f696fdac2l0i2oq2molwm1a5hu8i,mentions,mention,{}
17f69c601f1l0i20axhgsq56l4d2zi,17f6981f5f9l0i2mpl63u29r5fa3te,mentions,mention,{}
17f6952825al0i20b9avef4x7252jh,17f699693fbl0i1otqw0glcy3u6fp0k,mentions,mention,{}
17f69ca8b16l0i20bpl4cjplmus4qq,wiki_ashes_of_war,mentions,mention,{}
17f69bbfcedl0i20btp9912bp33pz,wiki_items,mentions,mention,{}
17f69bbfcedl0i20btp9912bp33pz,wiki_tools,mentions,mention,{}
17f697f2455l0i20c8cp8jdqkuxah,17f69f5e08al0i2opgccucgwqfl6n6,mentions,mention,{}
17f695f318dl0i20cgklnlvhdsi89p,17f699a9d79l0i2olzmep3owqdj2z6,mentions,mention,{}
17f695f318dl0i20cgklnlvhdsi89p,17f697bdfffl0i2mtpen4salledwa,mentions,mention,{}
17f695f318dl0i20cgklnlvhdsi89p,wiki_flame_peak,mentions,mention,{}
17f695f318dl0i20cgklnlvhdsi89p,wiki_mountaintops_of_the_giants,mentions,mention,{}
17f699e7b9al0i20ch56uunpr2w1ge,17f69f5e08al0i2opgccucgwqfl6n6,mentions,mention,{}
17f69998009l0i20d6pfa4akbg6h3,17f697bdfffl0i2mtpen4salledwa,mentions,mention,{}
17f69998009l0i20d6pfa4akbg6h3,wiki_miquella,mentions,mention,{}
17f69bcf445l0i20dcnkb0ztuvth8s,17f697bdfffl0i2mtpen4salledwa,mentions,mention,{}
17f69bcf445l0i20dcnkb0ztuvth8s,wiki_miquella,mentions,mention,{}
17f69ab901fl0i20dd00gtgirm4elci,wiki_roundtable_hold,mentions,mention,{}
17f699197bal0i20dpu8p25sz2o9nh,wiki_mountaintops_of_the_giants,mentions,mention,{}
17f69b1c0cfl0i20dzpbaidjoa86za,wiki_two_fingers,mentions,mention,{}
17f69b1c0cfl0i20dzpbaidjoa86za,wiki_incantations,mentions,mention,{}
17f69e2b453l0i20e2ze058fuit5nf,wiki_the_lands_between,mentions,mention,{}
17f69ceb2bfl0i20en3jbf94z5kosa,17f698eeca4l0i20ezgtkbf7ugf2gl,mentions,mention,{}
17f698399dcl0i20ezd67kobaongjp,17f698eeca4l0i20ezgtkbf7ugf2gl,mentions,mention,{}
17f69c318f1l0i20f46vnxg6mw0oo,17f698eeca4l0i20ezgtkbf7ugf2gl,mentions,mention,{}
17f696c1a6dl0i20f794jlosxy5qdh,17f698eeca4l0i20ezgtkbf7ugf2gl,mentions,mention,{}
17f696c1a6dl0i20f794jlosxy5qdh,wiki_ashes_of_war,mentions,mention,{}
17f697add84l0i20fki5ddrc2o8ihq,wiki_limgrave,mentions,mention,{}
17f69ae525fl0i20fnhvhwl08ea2v,wiki_limgrave,mentions,mention,{}
17f69bc7ac3l0i20ftc9ksdvp9o8qh,wiki_weeping_peninsula,mentions,mention,{}
17f695367c8l0i20gh6kodyxpb4bfa,wiki_dragonbarrow,mentions,mention,{}
17f69bcff36l0i20gk66rt5cl1vqfi,wiki_ainsel_river,mentions,mention,{}
17f696f617el0i20gys4sw8juq0vk,wiki_siofra_river,mentions,mention,{}
17f699b7c79l0i20h77tcma9tlhts7,wiki_altus_plateau,mentions,mention,{}
17f69e33300l0i20h8vkh9032jtw3e,wiki_caelid,mentions,mention,{}
17f697f7345l0i20hjcfpipdbaa11k,wiki_mountaintops_of_the_giants,mentions,mention,{}
17f69ab2b46l0i20hpb5mikgzabosa,wiki_flame_peak,mentions,mention,{}
17f69ab2b46l0i20hpb5mikgzabosa,wiki_mountaintops_of_the_giants,mentions,mention,{}
17f69ab2b46l0i20hpb5mikgzabosa,wiki_the_lands_between,mentions,mention,{}
17f69a067a9l0i20hrwf9m77mp3r9h,wiki_consecrated_snowfield,mentions,mention,{}
17f69a067a9l0i20hrwf9m77mp3r9h,wiki_miquella,mentions,mention,{}
17f69a3fed5l0i20ht8k8i7pbo9wid,wiki_ainsel_river,mentions,mention,{}
17f69a3fed5l0i20ht8k8i7pbo9wid,wiki_lake_of_rot,mentions,mention,{}
17f6978addbl0i20i7pujapslhmdd,wiki_deeproot_depths,mentions,mention,{}
17f6978addbl0i20i7pujapslhmdd,wiki_siofra_river,mentions,mention,{}
17f6978addbl0i20i7pujapslhmdd,wiki_the_lands_between,mentions,mention,{}
17f69914576l0i20id2ao3vcc91lt,wiki_stonedigger_troll,mentions,mention,{}
17f69730a73l0i20ivfxo0h69aodo,17f69b8a1f0l0i1zkh6maq6vqjsba,mentions,mention,{}
17f69730a73l0i20ivfxo0h69aodo,wiki_crystal_tears,mentions,mention,{}
17f69730a73l0i20ivfxo0h69aodo,wiki_the_lands_between,mentions,mention,{}
17f697c721fl0i20j4uws9c44dnb3e,17f69b8a1f0l0i1zkh6maq6vqjsba,mentions,mention,{}
17f697c721fl0i20j4uws9c44dnb3e,17f690ba6e1l0hynuyuvb7sle1w35,mentions,mention,{}
17f69e2c73dl0i20j8em1vna080i3k,17f69b8a1f0l0i1zkh6maq6vqjsba,mentions,mention,{}
17f69e2c73dl0i20j8em1vna080i3k,wiki_crystal_tears,mentions,mention,{}
17f69561c1fl0i20jhvr6qnfvfnvlt,17f69b8a1f0l0i1zkh6maq6vqjsba,mentions,mention,{}
17f69579378l0i20jqwrykv5651bni,17f69b8a1f0l0i1zkh6maq6vqjsba,mentions,mention,{}
17f6959a6ccl0i20l8o0t2gzabbv4g,17f69b8a1f0l0i1zkh6maq6vqjsba,mentions,mention,{}
17f6959a6ccl0i20l8o0t2gzabbv4g,wiki_crystal_tears,mentions,mention,{}
17f6955db65l0i20ldhqzkp3n6bm9o,17f69b8a1f0l0i1zkh6maq6vqjsba,mentions,mention,{}
17f6955db65l0i20ldhqzkp3n6bm9o,wiki_crystal_tears,mentions,mention,{}
17f69d587e6l0i20ldq6svu7yi213g,17f69b8a1f0l0i1zkh6maq6vqjsba,mentions,mention,{}
17f69d587e6l0i20ldq6svu7yi213g,wiki_crystal_tears,mentions,mention,{}
17f696fcbd8l0i20lfm0397f7x0dt3d,17f69b8a1f0l0i1zkh6maq6vqjsba,mentions,mention,{}
17f696fcbd8l0i20lfm0397f7x0dt3d,wiki_crystal_tears,mentions,mention,{}
17f69b0a8d8l0i20liyue9ium4r8va,17f69b8a1f0l0i1zkh6maq6vqjsba,mentions,mention,{}
17f69b0a8d8l0i20liyue9ium4r8va,wiki_crystal_tears,mentions,mention,{}
17f69b0a8d8l0i20liyue9ium4r8va,wiki_the_lands_between,mentions,mention,{}
17f69880f5cl0i20lxljnhf615863,17f69b8a1f0l0i1zkh6maq6vqjsba,mentions,mention,{}
17f69d8bccfl0i20m1sbm7hv0g8u8,17f69b8a1f0l0i1zkh6maq6vqjsba,mentions,mention,{}
17f69e058bcl0i20m27gbn17mv4o6o,17f69b8a1f0l0i1zkh6maq6vqjsba,mentions,mention,{}
17f69e058bcl0i20m27gbn17mv4o6o,wiki_crystal_tears,mentions,mention,{}
17f6981aec0l0i20m4sxqx6hk0w1d,17f69b8a1f0l0i1zkh6maq6vqjsba,mentions,mention,{}
17f6981aec0l0i20m4sxqx6hk0w1d,wiki_crystal_tears,mentions,mention,{}
17f6992e09fl0i20m5xak4e12nfsnh,17f69b8a1f0l0i1zkh6maq6vqjsba,mentions,mention,{}
17f6988a2dfl0i20ml5uqk4eom5n28,17f69b8a1f0l0i1zkh6maq6vqjsba,mentions,mention,{}
17f6988a2dfl0i20ml5uqk4eom5n28,wiki_crystal_tears,mentions,mention,{}
17f69925cc9l0i20mslhcxg8v5za8b,17f697f4363l0i1uy2tk9e7g2jqcu,mentions,mention,{}
17f69d21105l0i20my2sfysawm3s6,wiki_swamp_of_aeonia,mentions,mention,{}
17f69d21105l0i20my2sfysawm3s6,wiki_items,mentions,mention,{}
17f69768007l0i20myf597e9ahqzms,wiki_items,mentions,mention,{}
17f69e2308al0i20nco59qnknn4mrr,wiki_altus_plateau,mentions,mention,{}
17f69e2308al0i20nco59qnknn4mrr,wiki_items,mentions,mention,{}
17f69c46adfl0i20nko6nvaa9h2a0b,wiki_items,mentions,mention,{}
17f698a8a22l0i20noyxxsyz5zu5so,wiki_items,mentions,mention,{}
17f69aa13e1l0i20nqh9bxwuds3hsc,wiki_the_lands_between,mentions,mention,{}
17f69aa13e1l0i20nqh9bxwuds3hsc,wiki_items,mentions,mention,{}
17f6974ef59l0i20ny9hi38756cga,wiki_items,mentions,mention,{}
17f69c43df5l0i20nyvcaklpb90h3r,wiki_items,mentions,mention,{}
17f69aa948fl0i20o647g0tdm01l7r,wiki_items,mentions,mention,{}
17f69956f50l0i20oaky1f6im9a4n,wiki_items,mentions,mention,{}
17f69643277l0i20ompxk7v2m0l8x,wiki_items,mentions,mention,{}
17f69c3b54dl0i20onb616e9092ux7,wiki_items,mentions,mention,{}
17f69b6d614l0i20ooikuhjfwair8c,wiki_items,mentions,mention,{}
17f6987b884l0i20ots2fyt472bwzt,wiki_items,mentions,mention,{}
17f69654396l0i20p99cx76f8d5wud,17f69cd64fel0i20oy5m6swcehuold,mentions,mention,{}
17f697d0bfbl0i20pachd1fy9xdd4g,wiki_items,mentions,mention,{}
17f696dfdbal0i20pae9ft0yshlqc,wiki_items,mentions,mention,{}
17f69b4015al0i20pk8rh0a8hmnisb,wiki_items,mentions,mention,{}
17f69d31beal0i20pm932mnql2ncvl,wiki_items,mentions,mention,{}
17f69501453l0i20pwobhzqqzb91l,17f69d31beal0i20pm932mnql2ncvl,mentions,mention,{}
17f69501453l0i20pwobhzqqzb91l,wiki_items,mentions,mention,{}
17f696b18f7l0i20py1bglxxi3i3nj,wiki_mountaintops_of_the_giants,mentions,mention,{}
17f696b18f7l0i20py1bglxxi3i3nj,wiki_items,mentions,mention,{}
17f698c0fdel0i20q1a623yipgjzvv,wiki_items,mentions,mention,{}
17f69691e55l0i20q7wtw4sogfyqw,wiki_items,mentions,mention,{}
17f69a0ffaal0i20q99jl7kkmdd88,wiki_the_lands_between,mentions,mention,{}
17f69a0ffaal0i20q99jl7kkmdd88,wiki_items,mentions,mention,{}
17f69637dc5l0i20qjwolw4upywy5c,wiki_items,mentions,mention,{}
17f69e6def8l0i20qnpvz7bfbof5wa,wiki_items,mentions,mention,{}
17f6990bdf6l0i20qullo8dvtakzql,wiki_runes,mentions,mention,{}
17f6990bdf6l0i20qullo8dvtakzql,wiki_items,mentions,mention,{}
17f696590dfl0i20qw5kp27t1vuxkl,wiki_items,mentions,mention,{}
17f6979f70el0i20ra2nrx5nltfkpl,wiki_items,mentions,mention,{}
17f6994ecael0i20rfo807kblgeik6,17f699c789fl0i20upgftqx2gq1t6j,mentions,mention,{}
17f6994ecael0i20rfo807kblgeik6,wiki_items,mentions,mention,{}
17f69684565l0i20rio3gogqk529,wiki_items,mentions,mention,{}
17f69b4ad06l0i20rkg7ujgzd52c6m,wiki_items,mentions,mention,{}
17f69db831dl0i20ruam154s50qorb,wiki_items,mentions,mention,{}
17f69a2fb8al0i20ry76zl5i6p6jf9,wiki_poison,mentions,mention,{}
17f69a2fb8al0i20ry76zl5i6p6jf9,wiki_items,mentions,mention,{}
17f69cf6ad5l0i20s2sl4a9t0r9x5,wiki_items,mentions,mention,{}
17f697e14d1l0i20s60u9p96fco7up,wiki_items,mentions,mention,{}
17f69dab742l0i20s67dnwox3ezoin,wiki_items,mentions,mention,{}
17f69d3344dl0i20shwvr1yh8ak6b,wiki_items,mentions,mention,{}
17f69786a0dl0i20spggpk96zw6ibw,wiki_items,mentions,mention,{}
17f69a07a1al0i20ss320opmzoy91l,wiki_items,mentions,mention,{}
17f69dc4ee4l0i20stjmv4ysnhcv4,17f6964f00el0i20tppczbaoims4ml,mentions,mention,{}
17f69dc4ee4l0i20stjmv4ysnhcv4,wiki_items,mentions,mention,{}
17f6980a33al0i20suxe6cfo440nal,wiki_items,mentions,mention,{}
17f69834a0dl0i20t2fkqauq3bcpao,wiki_items,mentions,mention,{}
17f69ca09d3l0i20t8ikhdavucxz6k,wiki_items,mentions,mention,{}
17f69d4d11cl0i20tbrfcqa6e5d78g,wiki_the_lands_between,mentions,mention,{}
17f69d4d11cl0i20tbrfcqa6e5d78g,wiki_items,mentions,mention,{}
17f6964f00el0i20tppczbaoims4ml,wiki_items,mentions,mention,{}
17f69b7b57fl0i20tzbiubv6jcq8jj,wiki_poison,mentions,mention,{}
17f69b7b57fl0i20tzbiubv6jcq8jj,wiki_items,mentions,mention,{}
17f69e2024dl0i20u17bo0rakkxt4p,wiki_items,mentions,mention,{}
17f69b436a7l0i20u2559dhaojhyu7,wiki_items,mentions,mention,{}
17f694ebbfcl0i20uefnopg180rzc,wiki_items,mentions,mention,{}
17f698673d9l0i20un1lzoje9e4gk,wiki_the_lands_between,mentions,mention,{}
17f698673d9l0i20un1lzoje9e4gk,wiki_items,mentions,mention,{}
17f699c789fl0i20upgftqx2gq1t6j,wiki_the_lands_between,mentions,mention,{}
17f699c789fl0i20upgftqx2gq1t6j,wiki_items,mentions,mention,{}
17f69bd34d8l0i20uudycdy9olwe3,wiki_items,mentions,mention,{}
17f69c4120fl0i20v0co0r953ef5a,wiki_items,mentions,mention,{}
17f69cce56dl0i20vh7gio2hcq6dd5,wiki_items,mentions,mention,{}
17f699a6ce0l0i20vkg2lnygo0fg4x,wiki_items,mentions,mention,{}
17f69b86430l0i20vrtchuof1ye82q,wiki_items,mentions,mention,{}
17f69d3d30fl0i20vsmh310ariv4e,wiki_items,mentions,mention,{}
17f698fe982l0i20w7mxzp4xobarr,wiki_items,mentions,mention,{}
17f695a0052l0i20wco3s88dlvxzg8,wiki_items,mentions,mention,{}
17f699334fdl0i20wh9sbxo4bhrft,17f6964f00el0i20tppczbaoims4ml,mentions,mention,{}
17f699334fdl0i20wh9sbxo4bhrft,wiki_items,mentions,mention,{}
17f6973636al0i20whzxvyxnan3jg,wiki_st._trina,mentions,mention,{}
17f6973636al0i20whzxvyxnan3jg,wiki_items,mentions,mention,{}
17f695d12a2l0i20wj4zy22pjjmjug,wiki_items,mentions,mention,{}
17f698700d4l0i20wzka5xr5167mqc,wiki_the_lands_between,mentions,mention,{}
17f698700d4l0i20wzka5xr5167mqc,wiki_items,mentions,mention,{}
17f69788047l0i20x6m9m704elzu8q,wiki_items,mentions,mention,{}
17f69641acfl0i20x74jhiu021r24,wiki_weapons,mentions,mention,{}
17f69641acfl0i20x74jhiu021r24,wiki_items,mentions,mention,{}
17f697d2225l0i20x95fjwgm1fay3b,wiki_items,mentions,mention,{}
17f69e1ba82l0i20xlrxcid1qo6ydb,wiki_items,mentions,mention,{}
17f69c35d2cl0i1oh7zuqfb3mdvsj,wiki_dexterity,mentions,mention,{}
17f69c35d2cl0i1oh7zuqfb3mdvsj,wiki_strength,mentions,mention,{}
17f69667224l0i1ohar280aeoxkl6z,wiki_strike_damage,mentions,mention,{}
17f69667224l0i1ohar280aeoxkl6z,wiki_dexterity,mentions,mention,{}
17f69667224l0i1ohar280aeoxkl6z,wiki_strength,mentions,mention,{}
17f695c42f0l0i1ohb4cao0qxackpu,wiki_dexterity,mentions,mention,{}
17f695c42f0l0i1ohb4cao0qxackpu,wiki_strength,mentions,mention,{}
17f69c6388cl0i1ohcb8denrbpuhqs,wiki_weapons,mentions,mention,{}
17f69c6388cl0i1ohcb8denrbpuhqs,wiki_dexterity,mentions,mention,{}
17f69c6388cl0i1ohcb8denrbpuhqs,wiki_strength,mentions,mention,{}
17f699dbb9dl0i1ohfs2g1wqxwja74,wiki_weapons,mentions,mention,{}
17f699dbb9dl0i1ohfs2g1wqxwja74,wiki_dexterity,mentions,mention,{}
17f699dbb9dl0i1ohfs2g1wqxwja74,wiki_strength,mentions,mention,{}
17f699235c3l0i1ohvv1u6vgzp6gxv,17f697b13fal0i2mt2gmldy864m2zj,mentions,mention,{}
17f699235c3l0i1ohvv1u6vgzp6gxv,wiki_dexterity,mentions,mention,{}
17f699235c3l0i1ohvv1u6vgzp6gxv,wiki_strength,mentions,mention,{}
17f69b32182l0i1oi3uyg5fkssmhje,17f69e151d8l0i1uo19hl8r6l0snmo,mentions,mention,{}
17f69b32182l0i1oi3uyg5fkssmhje,wiki_dexterity,mentions,mention,{}
17f69b32182l0i1oi3uyg5fkssmhje,wiki_strength,mentions,mention,{}
17f6980f4d4l0i1oi72p2skbsycy5,17f697ef5f2l0i2mo0qi9n0ri0imyd,mentions,mention,{}
17f6980f4d4l0i1oi72p2skbsycy5,wiki_runes,mentions,mention,{}
17f6980f4d4l0i1oi72p2skbsycy5,wiki_stats,mentions,mention,{}
17f6980f4d4l0i1oi72p2skbsycy5,wiki_dexterity,mentions,mention,{}
17f6980f4d4l0i1oi72p2skbsycy5,wiki_strength,mentions,mention,{}
17f6963aeael0i1oiez2moleac31tm,wiki_the_lands_between,mentions,mention,{}
17f6963aeael0i1oiez2moleac31tm,wiki_dexterity,mentions,mention,{}
17f6963aeael0i1oiez2moleac31tm,wiki_intelligence,mentions,mention,{}
17f6963aeael0i1oiez2moleac31tm,wiki_strength,mentions,mention,{}
17f69aeb629l0i1oifaza9fgo5b598,wiki_dexterity,mentions,mention,{}
17f69aeb629l0i1oifaza9fgo5b598,wiki_strength,mentions,mention,{}
17f6959fcafl0i1oinkyocipl7tiwk,wiki_strength,mentions,mention,{}
17f69b8f9edl0i1oitj4z0mizqfmf7,17f699dbb9dl0i1ohfs2g1wqxwja74,mentions,mention,{}
17f69b8f9edl0i1oitj4z0mizqfmf7,wiki_lightning_damage,mentions,mention,{}
17f69b8f9edl0i1oitj4z0mizqfmf7,wiki_dexterity,mentions,mention,{}
17f69b8f9edl0i1oitj4z0mizqfmf7,wiki_strength,mentions,mention,{}
17f699ef109l0i1oj1cqtn6euxicod,17f69932567l0i1p1g57mgpbxaj4hw,mentions,mention,{}
17f699ef109l0i1oj1cqtn6euxicod,17f69dbf58cl0i1ux7vft8wsk6ejbb,mentions,mention,{}
17f699ef109l0i1oj1cqtn6euxicod,17f697500cal0i1v2hh14qewvbrwrn,mentions,mention,{}
17f699ef109l0i1oj1cqtn6euxicod,17f69160ac9l0hynthagycs7dr7gq7,mentions,mention,{}
17f699ef109l0i1oj1cqtn6euxicod,wiki_holy_damage,mentions,mention,{}
17f699ef109l0i1oj1cqtn6euxicod,wiki_dexterity,mentions,mention,{}
17f699ef109l0i1oj1cqtn6euxicod,wiki_strength,mentions,mention,{}
17f698da62dl0i1oj2p6wyeh8vo0to,wiki_dexterity,mentions,mention,{}
17f698da62dl0i1oj2p6wyeh8vo0to,wiki_strength,mentions,mention,{}
17f69dd8093l0i1oj6x6qo6tg76q8,wiki_stats,mentions,mention,{}
17f69dd8093l0i1oj6x6qo6tg76q8,wiki_volcano_manor,mentions,mention,{}
17f69d12746l0i1ojbzxzgz6gfjsi,17f6994d14el0i1pfsvoe12uhfhqnc,mentions,mention,{}
17f69d12746l0i1ojbzxzgz6gfjsi,wiki_dexterity,mentions,mention,{}
17f69d12746l0i1ojbzxzgz6gfjsi,wiki_strength,mentions,mention,{}
17f695afa44l0i1ojioyvh48q16qul,17f69d12746l0i1ojbzxzgz6gfjsi,mentions,mention,{}
17f695afa44l0i1ojioyvh48q16qul,wiki_dexterity,mentions,mention,{}
17f695afa44l0i1ojioyvh48q16qul,wiki_strength,mentions,mention,{}
17f6968148cl0i1ojrunt1o8v6y34f,17f69d12746l0i1ojbzxzgz6gfjsi,mentions,mention,{}
17f6968148cl0i1ojrunt1o8v6y34f,wiki_holy_damage,mentions,mention,{}
17f6968148cl0i1ojrunt1o8v6y34f,wiki_dexterity,mentions,mention,{}
17f6968148cl0i1ojrunt1o8v6y34f,wiki_strength,mentions,mention,{}
17f69dcccffl0i1ojske3hc4ernauj,17f69d12746l0i1ojbzxzgz6gfjsi,mentions,mention,{}
17f69dcccffl0i1ojske3hc4ernauj,wiki_magic_damage,mentions,mention,{}
17f69dcccffl0i1ojske3hc4ernauj,wiki_dexterity,mentions,mention,{}
17f69dcccffl0i1ojske3hc4ernauj,wiki_strength,mentions,mention,{}
17f694c87afl0i1ojvhpi9w9ttf21,wiki_poison,mentions,mention,{}
17f694c87afl0i1ojvhpi9w9ttf21,wiki_dexterity,mentions,mention,{}
17f694cf960l0i1ojybdeac0ffxf5,17f69d2a7c6l0i20vpvqzkbel16l5d,mentions,mention,{}
17f694cf960l0i1ojybdeac0ffxf5,17f69d12746l0i1ojbzxzgz6gfjsi,mentions,mention,{}
17f694cf960l0i1ojybdeac0ffxf5,wiki_dexterity,mentions,mention,{}
17f694cf960l0i1ojybdeac0ffxf5,wiki_strength,mentions,mention,{}
17f694bf0a0l0i1okt1ao6xjlqrmq9,17f69d12746l0i1ojbzxzgz6gfjsi,mentions,mention,{}
17f694bf0a0l0i1okt1ao6xjlqrmq9,17f6994d14el0i1pfsvoe12uhfhqnc,mentions,mention,{}
17f694bf0a0l0i1okt1ao6xjlqrmq9,wiki_builds,mentions,mention,{}
17f694bf0a0l0i1okt1ao6xjlqrmq9,wiki_dexterity,mentions,mention,{}
17f694bf0a0l0i1okt1ao6xjlqrmq9,wiki_strength,mentions,mention,{}
17f69575d35l0i1oktqg9vbv6v8jk,wiki_bloodhound_knight,mentions,mention,{}
17f69575d35l0i1oktqg9vbv6v8jk,wiki_claws,mentions,mention,{}
17f69575d35l0i1oktqg9vbv6v8jk,wiki_dexterity,mentions,mention,{}
17f69575d35l0i1oktqg9vbv6v8jk,wiki_strength,mentions,mention,{}
17f695a80d4l0i1okukv5xwwhqcvn,wiki_poison,mentions,mention,{}
17f695a80d4l0i1okukv5xwwhqcvn,wiki_weapons,mentions,mention,{}
17f695a80d4l0i1okukv5xwwhqcvn,wiki_dexterity,mentions,mention,{}
17f695a80d4l0i1okukv5xwwhqcvn,wiki_strength,mentions,mention,{}
17f69bb71a6l0i1okvek92tqjqy5w,wiki_weapons,mentions,mention,{}
17f69bb71a6l0i1okvek92tqjqy5w,wiki_claws,mentions,mention,{}
17f69bb71a6l0i1okvek92tqjqy5w,wiki_dexterity,mentions,mention,{}
17f69bb71a6l0i1okvek92tqjqy5w,wiki_strength,mentions,mention,{}
17f694a2cc3l0i1okx1gdd6e5ser2,17f69e151d8l0i1uo19hl8r6l0snmo,mentions,mention,{}
17f694a2cc3l0i1okx1gdd6e5ser2,wiki_dexterity,mentions,mention,{}
17f694a2cc3l0i1okx1gdd6e5ser2,wiki_strength,mentions,mention,{}
17f69c91071l0i1olmq0iokptn3hftg,17f6974feb9l0i1olnp61dvex8ugut,mentions,mention,{}
17f69c91071l0i1olmq0iokptn3hftg,wiki_erdtree_burial_watchdog,mentions,mention,{}
17f69c91071l0i1olmq0iokptn3hftg,wiki_strength,mentions,mention,{}
17f6974feb9l0i1olnp61dvex8ugut,wiki_strength,mentions,mention,{}
17f69d62fd0l0i1olqu110xlsqhiuo,17f6974feb9l0i1olnp61dvex8ugut,mentions,mention,{}
17f69d62fd0l0i1olqu110xlsqhiuo,wiki_stats,mentions,mention,{}
17f69d62fd0l0i1olqu110xlsqhiuo,wiki_dexterity,mentions,mention,{}
17f69d62fd0l0i1olqu110xlsqhiuo,wiki_strength,mentions,mention,{}
17f6946481al0i1olr8v9h8hxdx439,17f69160ac9l0hynthagycs7dr7gq7,mentions,mention,{}
17f6946481al0i1olr8v9h8hxdx439,wiki_dexterity,mentions,mention,{}
17f6946481al0i1olr8v9h8hxdx439,wiki_strength,mentions,mention,{}
17f69848f3fl0i1olspoavxf69m81b,wiki_colossal_swords,mentions,mention,{}
17f69848f3fl0i1olspoavxf69m81b,wiki_dexterity,mentions,mention,{}
17f69848f3fl0i1olspoavxf69m81b,wiki_strength,mentions,mention,{}
17f695e24bel0i1omb3kpapbx2zhn,17f6974feb9l0i1olnp61dvex8ugut,mentions,mention,{}
17f695e24bel0i1omb3kpapbx2zhn,17f6974b8aal0i2oq6qbzsegb120iw,mentions,mention,{}
17f695e24bel0i1omb3kpapbx2zhn,wiki_dexterity,mentions,mention,{}
17f695e24bel0i1omb3kpapbx2zhn,wiki_intelligence,mentions,mention,{}
